"filename", "language", "Python", "comment", "blank", "total"
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/agent/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/api/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/integration/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/processing/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/query/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/search/tests/__init__.py", "Python", 0, 0, -1, -1
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/__init__.py", "Python", 5, 0, 2, 7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/advanced/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/advanced/linear_algebra_vis.py", "Python", 764, 113, 135, 1012
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/__init__.py", "Python", 5, 0, 2, 7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/advanced_viz_agent.py", "Python", 433, 80, 113, 626
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/interactive_viz_agent.py", "Python", 229, 21, 41, 291
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/mathematical_viz_agent.py", "Python", 216, 23, 41, 280
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/message_handler.py", "Python", 111, 10, 22, 143
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/agent/viz_agent.py", "Python", 325, 35, 57, 417
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/integration/__init__.py", "Python", 0, 0, 1, 1
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/__init__.py", "Python", 5, 0, 2, 7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/interactive.py", "Python", 508, 93, 110, 711
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/mathematical.py", "Python", 589, 120, 147, 856
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/plot_2d.py", "Python", 189, 34, 44, 267
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/plot_3d.py", "Python", 238, 29, 43, 310
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/plotting/statistical.py", "Python", 265, 32, 48, 345
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/selection/__init__.py", "Python", 5, 0, 2, 7
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/selection/context_analyzer.py", "Python", 336, 46, 67, 449
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/__init__.py", "Python", 3, 0, 1, 4
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/test_agent.py", "Python", 102, 16, 22, 140
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/test_plotting.py", "Python", 110, 11, 28, 149
"/Users/dasuncharuka/Desktop/new/math-llm-system/visualization/tests/test_selector.py", "Python", 60, 17, 21, 98
"Total", "-", 4498, 680, 943, 6121
